
  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20231217000000 | 20231217000000 | 2023-12-17 00:00:00 
   20231217000001 | 20231217000001 | 2023-12-17 00:00:01 
   20260307000001 | 20260307000001 | 2026-03-07 00:00:01 
   20260307000002 | 20260307000002 | 2026-03-07 00:00:02 
   20260307000003 | 20260307000003 | 2026-03-07 00:00:03 
   20260307000004 | 20260307000004 | 2026-03-07 00:00:04 
   20260307000005 | 20260307000005 | 2026-03-07 00:00:05 
   20260307000006 | 20260307000006 | 2026-03-07 00:00:06 
   20260307000007 | 20260307000007 | 2026-03-07 00:00:07 
   20260314000001 |                | 2026-03-14 00:00:01 
   20260314000002 |                | 2026-03-14 00:00:02 
   20260314000003 |                | 2026-03-14 00:00:03 

